index,Country,Date,AvgTemperature
63181,Sri Lanka,2017-05-25,82.7
63182,Sri Lanka,2017-05-26,82.3
63183,Sri Lanka,2017-05-27,84.3
63184,Sri Lanka,2017-05-28,83.8
63185,Sri Lanka,2017-05-29,84.0
63186,Sri Lanka,2017-05-30,82.4
63187,Sri Lanka,2017-05-31,83.0
63188,Sri Lanka,2017-06-01,83.2
63189,Sri Lanka,2017-06-02,81.7
63190,Sri Lanka,2017-06-03,82.4
63191,Sri Lanka,2017-06-04,83.7
63192,Sri Lanka,2017-06-05,83.3
63193,Sri Lanka,2017-06-06,83.6
63194,Sri Lanka,2017-06-07,82.7
63195,Sri Lanka,2017-06-08,84.0
63196,Sri Lanka,2017-06-09,83.5
63197,Sri Lanka,2017-06-10,82.6
63198,Sri Lanka,2017-06-11,81.7
63199,Sri Lanka,2017-06-12,82.9
63200,Sri Lanka,2017-06-13,82.8
63201,Sri Lanka,2017-06-14,81.5
63202,Sri Lanka,2017-06-15,81.7
63203,Sri Lanka,2017-06-16,81.9
63204,Sri Lanka,2017-06-17,83.3
63205,Sri Lanka,2017-06-18,83.7
63206,Sri Lanka,2017-06-19,83.7
63207,Sri Lanka,2017-06-20,83.7
63208,Sri Lanka,2017-06-21,83.6
63209,Sri Lanka,2017-06-22,83.4
63210,Sri Lanka,2017-06-23,83.0
63211,Sri Lanka,2017-06-24,81.6
63212,Sri Lanka,2017-06-25,80.6
63213,Sri Lanka,2017-06-26,80.7
63214,Sri Lanka,2017-06-27,79.4
63215,Sri Lanka,2017-06-28,81.1
63216,Sri Lanka,2017-06-29,83.6
63217,Sri Lanka,2017-06-30,83.4
63218,Sri Lanka,2017-07-01,83.5
63219,Sri Lanka,2017-07-02,83.0
63220,Sri Lanka,2017-07-03,83.3
63221,Sri Lanka,2017-07-04,83.7
63222,Sri Lanka,2017-07-05,83.8
63223,Sri Lanka,2017-07-06,83.5
63224,Sri Lanka,2017-07-07,83.0
63225,Sri Lanka,2017-07-08,83.2
63226,Sri Lanka,2017-07-09,79.6
63227,Sri Lanka,2017-07-10,81.6
63228,Sri Lanka,2017-07-11,82.7
63229,Sri Lanka,2017-07-12,83.3
63230,Sri Lanka,2017-07-13,82.9
63231,Sri Lanka,2017-07-14,83.5
63232,Sri Lanka,2017-07-15,83.5
63233,Sri Lanka,2017-07-16,83.5
63234,Sri Lanka,2017-07-17,83.9
63235,Sri Lanka,2017-07-18,83.1
63236,Sri Lanka,2017-07-19,81.2
63237,Sri Lanka,2017-07-20,83.0
63238,Sri Lanka,2017-07-21,82.9
